WATER/OCEAN/LAKE,Water
FERRIC ACRISOL,Acriosols
GLEYIC ACRISOL,Acriosols
HUMIC ACRISOL,Acriosols
ORTHIC ACRISOL,Acriosols
PLINTHIC ACRISOL,Acriosols
CHROMIC CAMBISOL,Cambisols
DYSTRIC CAMBISOL,Cambisols
EUTRIC CAMBISOL,Cambisols
FERRALIC CAMBISOL,Cambisols
GLEYIC CAMBISOL,Cambisols
HUMIC CAMBISOL,Cambisols
CALCIC CAMBISOL,Cambisols
VERTIC CAMBISOL,Cambisols
GELIC CAMBISOL,Cambisols
GLOSSIC CHERNOZEM,Chernozems
HAPLIC CHERNOZEM,Chernozems
CALCIC CHERNOZEM,Chernozems
LUVIC CHERNOZEM,Chernozems
DYSTRIC PODZOLUVISOL,Podzoluvisols
EUTRIC PODZOLUVISOL,Podzoluvisols
GLEYIC PODZOLUVISOL,Podzoluvisols
RENDZINA,Rendzinas
ACRIC FERRALSOL,Ferralsols
HUMIC FERRALSOL,Ferralsols
ORTHIC FERRALSOL,Ferralsols
PLINTHIC FERRALSOL,Ferralsols
RHODIC FERRALSOL,Ferralsols
XANTHIC FERRALSOL,Ferralsols
CALCARIC GLEYSOL,Gleysols
DYSTRIC GLEYSOL,Gleysols
EUTRIC GLEYSOL,Gleysols
HUMIC GLEYSOL,Gleysols
MOLLIC GLEYSOL,Gleysols
PLINTHIC GLEYSOL,Gleysols
GELIC GLEYSOL,Gleysols
CALCARIC PHAEOZEM,Phaeozems
GLEYIC PHAEOZEM,Phaeozems
HAPLIC PHAEOZEM,Phaeozems
LUVIC PHAEOZEM,Phaeozems
LITHOSOL,Lithosols
CALCARIC FLUVISOL,Fluvisols
DYSTRIC FLUVISOL,Fluvisols
EUTRIC FLUVISOL,Fluvisols
THIONIC FLUVISOL,Fluvisols
HAPLIC KASTANOZEM,Kastanozems
CALCIC KASTANOZEM,Kastanozems
LUVIC KASTANOZEM,Kastanozems
ALBIC LUVISOL,Luvisols
CHROMIC LUVISOL,Luvisols
FERRIC LUVISOL,Luvisols
GLEYIC LUVISOL,Luvisols
CALCIC LUVISOL,Luvisols
ORTHIC LUVISOL,Luvisols
PLINTHIC LUVISOL,Luvisols
VERTIC LUVISOL,Luvisols
GLEYIC GREYZEM,Greyzems
ORTHIC GREYZEM,Greyzems
DYSTRIC NITOSOL,Nitosols
EUTRIC NITOSOL,Nitosols
HUMIC NITOSOL,Nitosols
DYSTRIC HISTOSOL,Histosols
EUTRIC HISTOSOL,Histosols
GELIC HISTOSOL,Histosols
FERRIC PODZOL,Podzols
GLEYIC PODZOL,Podzols
HUMIC PODZOL,Podzols
LEPTIC PODZOL,Podzols
ORTHIC PODZOL,Podzols
PLACIC PODZOL,Podzols
ALBIC ARENOSOL,Arenosols
CAMBIC ARENOSOL,Arenosols
FERRALIC ARENOSOL,Arenosols
LUVIC ARENOSOL,Arenosols
CALCARIC REGOSOL,Regosols
DYSTRIC REGOSOL,Regosols
EUTRIC REGOSOL,Regosols
GELIC REGOSOL,Regosols
GLEYIC SOLONETZ,Solonetz
MOLLIC SOLONETZ,Solonetz
ORTHIC SOLONETZ,Solonetz
HUMIC ANDOSOL,Andosols
MOLLIC ANDOSOL,Andosols
OCHRIC ANDOSOL,Andosols
VITRIC ANDOSOL,Andosols
RANKER,Rankers
CHROMIC VERTISOL,Vertisols
PELLIC VERTISOL,Vertisols
DYSTRIC PLANOSOL,Planosols
EUTRIC PLANOSOL,Planosols
HUMIC PLANOSOL,Planosols
MOLLIC PLANOSOL,Planosols
SOLODIC PLANOSOL,Planosols
GELIC PLANOSOL,Planosols
HAPLIC XEROSOL,Xerosols
CALCIC XEROSOL,Xerosols
LUVIC XEROSOL,Xerosols
GYPSIC XEROSOL,Xerosols
HAPLIC YERMOSOL,Yermosols
CALCIC YERMOSOL,Yermosols
LUVIC YERMOSOL,Yermosols
TAKYRIC YERMOSOL,Yermosols
GYPSIC YERMOSOL,Yermosols
GLEYIC SOLONCHAK,Solonchaks
MOLLIC SOLONCHAK,Solonchaks
ORTHIC SOLONCHAK,Solonchaks
TAKYRIC SOLONCHAK,Solonchaks
GLACIER/ICE,Ice
